"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"CAMLINFINE","Camlin Fine Sciences Limited","7(2)","Ashish Subhash Dandekar","Director","Equity Shares","19778510","10.3",,"1250000","129825000","Pledge","Equity Shares","19778510","10.3","07-Apr-2026","07-Apr-2026","09-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","13-Apr-2026 16:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197720_1649888_13042026043710_WEB.xml"
"SIGIND","Signet Industries Limited","7(2)","Mukesh Sangla","Director","Equity Shares","1125142","3.82",,"44743","1994951","Buy","Equity Shares","1169885","3.97","25-Mar-2026","30-Mar-2026","30-Mar-2026","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","13-Apr-2026 14:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197718_1649721_13042026025613_WEB.xml"
"SIGIND","Signet Industries Limited","7(2)","Mukesh Sangla","Director","Equity Shares","1123432","3.82",,"1710","71632","Buy","Equity Shares","1125142","3.82","23-Mar-2026","23-Mar-2026","25-Mar-2026","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","13-Apr-2026 14:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197716_1649712_13042026025004_WEB.xml"
"KIRIINDUS","Kiri Industries Limited","7(2)","Manishkumar P Kiri","Promoters","Equity Shares","3980073","6.63",,"1401444","253661364","Buy","Equity Shares","5381517","8.25","11-Apr-2026","11-Apr-2026","13-Apr-2026","Preferential Offer","-","-","0","0","0","0","NA","-","13-Apr-2026 12:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197714_1649601_13042026124815_WEB.xml"
"KIRIINDUS","Kiri Industries Limited","7(2)","Anupama Manishkumar Kiri","Promoter Group","Equity Shares","8035691","13.38",,"1465547","265264007","Buy","Equity Shares","9501238","14.58","11-Apr-2026","11-Apr-2026","13-Apr-2026","Preferential Offer","-","-","0","0","0","0","NA","-","13-Apr-2026 12:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197714_1649601_13042026124815_WEB.xml"
"KIRIINDUS","Kiri Industries Limited","7(2)","Arunaben Pravinbhai Kiri","Promoter Group","Equity Shares","2120240","3.53",,"1041310","188477110","Buy","Equity Shares","3161550","4.85","11-Apr-2026","11-Apr-2026","13-Apr-2026","Preferential Offer","-","-","0","0","0","0","NA","-","13-Apr-2026 12:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197714_1649601_13042026124815_WEB.xml"
"KIRIINDUS","Kiri Industries Limited","7(2)","Hemil Manishkumar Kiri","Promoter Group","Equity Shares","1962855","3.27",,"1237145","223923245","Buy","Equity Shares","3200000","4.91","11-Apr-2026","11-Apr-2026","13-Apr-2026","Preferential Offer","-","-","0","0","0","0","NA","-","13-Apr-2026 12:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197714_1649601_13042026124815_WEB.xml"
"LEXUS","Lexus Granito (India) Limited","7(2)","Nilesh Babubhai Detroja","Promoters","Equity Shares","925878","4.45",,"48602","1885757","Sell","Equity Shares","877276","4.22","05-Mar-2026","05-Mar-2026","11-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","11-Apr-2026 15:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197712_1649353_11042026033747_WEB.xml"
"LEXUS","Lexus Granito (India) Limited","7(2)","Nilesh Babubhai Detroja","Promoters","Equity Shares","964511","4.71",,"38633","1487370","Sell","Equity Shares","925878","4.52","23-Feb-2026","23-Feb-2026","11-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","11-Apr-2026 15:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197710_1649349_11042026033628_WEB.xml"
"UNIHEALTH","Unihealth Hospitals Limited","7(2)","Dr.Anurag Shah","Promoters","Equity Shares","5150000","32.8",,"100000","15100000","Buy","Equity Shares","5250000","33.02","10-Apr-2026","10-Apr-2026","11-Apr-2026","Others","-","-","0","0","0","0","NA","-","11-Apr-2026 11:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197708_1649239_11042026111418_WEB.xml"
"UNIHEALTH","Unihealth Hospitals Limited","7(2)","Dr.Akshay M.Parmar","Promoters","Equity Shares","4330000","27.58",,"100000","15100000","Buy","Equity Shares","4430000","27.86","10-Apr-2026","10-Apr-2026","11-Apr-2026","Others","-","-","0","0","0","0","NA","-","11-Apr-2026 11:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197708_1649239_11042026111418_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Vijay Punglia","Promoter Group","Equity Shares","4515000","3.62",,"1060000","37481600","Pledge","Equity Shares","4515000","3.62","06-Apr-2026","06-Apr-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Kamal Kishor Pungalia","Promoters","Equity Shares","5650000","4.53",,"100000","2985000","Pledge","Equity Shares","5650000","4.53","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Vijay Punglia","Promoter Group","Equity Shares","4515000","3.62",,"800000","26976000","Pledge","Equity Shares","4515000","3.62","01-Apr-2026","01-Apr-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Vijay Punglia","Promoter Group","Equity Shares","4515000","3.62",,"700000","23604000","Pledge","Equity Shares","4515000","3.62","01-Apr-2026","01-Apr-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Vijay Punglia","Promoter Group","Equity Shares","4515000","3.62",,"400000","11940000","Pledge","Equity Shares","4515000","3.62","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Anil Punglia","Promoter Group","Equity Shares","3300000","2.65",,"300000","8955000","Pledge","Equity Shares","3300000","2.65","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Anil Punglia","Promoter Group","Equity Shares","3300000","2.65",,"730000","21790500","Pledge","Equity Shares","3300000","2.65","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Pushpa Pungalia","Promoter Group","Equity Shares","3490000","2.8",,"200000","5970000","Pledge","Equity Shares","3490000","2.8","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Sanjay Kumar Punglia","Promoters","Equity Shares","5349883","4.29",,"300000","8955000","Pledge","Equity Shares","5349883","4.29","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Pooja Punglia","Promoter Group","Equity Shares","1405000","1.12",,"600000","19812000","Pledge","Equity Shares","1405000","1.12","27-Mar-2026","27-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Mamta Pungaliya","Promoter Group","Equity Shares","665000","0.53",,"600000","17910000","Pledge","Equity Shares","665000","0.53","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Vishnu Prakash Punglia","Promoters","Equity Shares","10675000","8.56",,"100000","2985000","Pledge","Equity Shares","10675000","8.56","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"VPRPL","Vishnu Prakash R Punglia Limited","7(2)","Manohar Lal Punglia","Promoters","Equity Shares","8220000","6.59",,"100000","2985000","Pledge","Equity Shares","8220000","6.59","30-Mar-2026","30-Mar-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","10-Apr-2026 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197703_1648869_10042026051743_WEB.xml"
"MANGALAM","Mangalam Drugs And Organics Limited","7(2)","SHREE KISHORIJU TRADING AND INVESTMENT PRIVATE LIMITED","Promoters","Equity Shares","507099","3.2",,"1500","51465","Pledge Revoke","Equity Shares","508599","3.21","06-Feb-2026","06-Feb-2026","10-Apr-2026","-","-","-","0","0","0","0","NA","-","10-Apr-2026 17:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197701_1648836_10042026050031_WEB.xml"
"OSIAHYPER","Osia Hyper Retail Limited","7(2)","Dhirendra Gautamkumar Chopra","Promoters","Equity Shares","16390866","9.26",,"6390392","28884571","Sell","Equity Shares","10000474","5.65","24-Mar-2026","24-Mar-2026","06-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 15:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197697_1648668_10042026030713_WEB.xml"
"OSIAHYPER","Osia Hyper Retail Limited","7(2)","Kavita Dhirendrakumar Chopra","Promoters","Equity Shares","38830843","21.94",,"2500000","11300000","Sell","Equity Shares","36330843","20.53","24-Mar-2026","24-Mar-2026","06-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 15:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197697_1648668_10042026030713_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","586860","2.8",,"20000","7905546","Buy","Equity Shares","606860","2.9","26-Feb-2026","26-Feb-2026","10-Apr-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","611660","2.92",,"28400","12939714","Sell","Equity Shares","583260","2.8","20-Feb-2026","20-Feb-2026","10-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","Trishneet Arora","Promoters","Equity Shares","11325460","54.04",,"15000","0","Pledge Invoke","Equity Shares","11310460","53.96","20-Feb-2026","20-Feb-2026","10-Apr-2026","Invocation of pledge","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","Trishneet Arora","Promoters","Equity Shares","11325460","54.04",,"1666700","0","Pledge","Equity Shares","11325460","54.04","06-Feb-2026","06-Feb-2026","10-Apr-2026","Pledge Creation","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","591660","2.82",,"10000","4534390","Buy","Equity Shares","601660","2.84","24-Feb-2026","24-Feb-2026","10-Apr-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","586660","2.8",,"5000","2328050","Buy","Equity Shares","591660","2.82","25-Feb-2026","25-Feb-2026","10-Apr-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","599860","2.86",,"13200","5497209","Sell","Equity Shares","586660","2.8","24-Feb-2026","24-Feb-2026","10-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","608060","2.9",,"8200","4273355","Sell","Equity Shares","599860","2.86","23-Feb-2026","23-Feb-2026","10-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","543660","2.59",,"68000","28522573","Buy","Equity Shares","611660","2.92","24-Feb-2026","24-Feb-2026","10-Apr-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","611660","2.92",,"3600","1845487","Sell","Equity Shares","608060","2.9","20-Feb-2026","20-Feb-2026","10-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","606860","2.9",,"4800","1848877","Buy","Equity Shares","611660","2.92","27-Feb-2026","27-Feb-2026","10-Apr-2026","Market Purchase","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"TAC","TAC Infosec Limited","7(2)","CHARANJIT SINGH","Promoters","Equity Shares","611660","2.92",,"68000","28592953","Sell","Equity Shares","543660","2.59","24-Feb-2026","24-Feb-2026","10-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","10-Apr-2026 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197695_1648594_10042026015733_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","BFL EMPLOYEE WELFARE TRUST","Other","Equity Shares","4605029","0.07",,"3472439","1278335769","Buy","Equity Shares","8077468","0.13","07-Apr-2026","07-Apr-2026","07-Apr-2026","Others","-","-","0","0","0","0","NA","-","09-Apr-2026 19:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197693_1648374_09042026074258_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","Trilochan Singh Sahney Trust - 1","Promoters","Equity Shares","6785123","7",,"1896675","454026061","Pledge","Equity Shares","6785123","7","27-Mar-2026","07-Apr-2026","08-Apr-2026","Revokation of Pledge","-","-","0","0","0","0","NA","-","09-Apr-2026 15:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197689_1647922_09042026030610_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","Trilochan Singh Sahney Trust - 1","Promoters","Equity Shares","6785123","7",,"3005000","719336900","Pledge","Equity Shares","6785123","7","27-Mar-2026","07-Apr-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","09-Apr-2026 15:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197689_1647922_09042026030610_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","HARSHBEENA ZAVERI","Promoters","Equity Shares","40207885","41.48",,"16484427","3946042135","Pledge","Equity Shares","40207885","41.48","27-Mar-2026","07-Apr-2026","08-Apr-2026","Pledge Creation","-","-","0","0","0","0","NA","-","09-Apr-2026 15:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197689_1647922_09042026030610_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","HARSHBEENA ZAVERI","Promoters","Equity Shares","40207885","41.48",,"17613043","4216210233","Pledge","Equity Shares","40207885","41.48","27-Mar-2026","07-Apr-2026","08-Apr-2026","Revokation of Pledge","-","-","0","0","0","0","NA","-","09-Apr-2026 15:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197689_1647922_09042026030610_WEB.xml"
"CHALET","Chalet Hotels Limited","7(2)","Christabelle Baptista","Key Managerial Personnel","Equity Shares","15000","0",,"10000","2920000","Buy","Equity Shares","25000","0.01","07-Apr-2026","07-Apr-2026","07-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","08-Apr-2026 12:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197686_1647147_08042026123741_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","Sadaruddin Mazharuddin Khan","-","Equity Shares","61441","0.03",,"61441","1721577","Sell","Equity Shares","Nil","0","30-Mar-2026","30-Mar-2026","02-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","07-Apr-2026 17:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197682_1646819_07042026054028_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","Sadaruddin Mazharuddin Khan","-","Equity Shares","Nil","0",,"61441","614410","Buy","Equity Shares","61441","0.03","20-Mar-2026","20-Mar-2026","02-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","07-Apr-2026 17:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197682_1646819_07042026054028_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","683162","0.11",,"56","112","Sell","Equity Shares","683106","0.11","06-Apr-2026","06-Apr-2026","06-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","07-Apr-2026 12:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197680_1646542_07042026120853_WEB.xml"
"SIGACHI","Sigachi Industries Limited","7(2)","Dharani Devi C","Promoter Group","Equity Shares","7436250","1.95",,"1053741","20000000","Sell","Equity Shares","6382509","1.67","30-Mar-2026","30-Mar-2026","02-Apr-2026","Off Market","-","-","0","0","0","0","NA","-","07-Apr-2026 11:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197678_1646511_07042026112325_WEB.xml"
"SIGACHI","Sigachi Industries Limited","7(2)","RPS Industries Private Limited","Promoters","Equity Shares","56354250","14.74",,"1053741","20000000","Buy","Equity Shares","57407991","15.02","30-Mar-2026","30-Mar-2026","02-Apr-2026","Off Market","-","-","0","0","0","0","NA","-","07-Apr-2026 11:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197678_1646511_07042026112325_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Deepak Shetty","-","Equity Shares","5000","0",,"2000","40000","Buy","Equity Shares","7000","0.01","06-Apr-2026","06-Apr-2026","06-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","06-Apr-2026 19:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197676_1646423_06042026072717_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Deepak Bijlani","-","Equity Shares","3950","0",,"3950","79000","Buy","Equity Shares","7900","0.01","06-Apr-2026","06-Apr-2026","06-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","06-Apr-2026 19:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197676_1646423_06042026072717_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Paresh Shah","Key Managerial Personnel","Equity Shares","37500","0.06",,"1750","136500","Buy","Equity Shares","39250","0.06","06-Apr-2026","06-Apr-2026","06-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","06-Apr-2026 19:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197676_1646423_06042026072717_WEB.xml"
"ADSL","Allied Digital Services Limited","7(2)","Amit Vora","-","Equity Shares","233","0",,"6000","468000","Buy","Equity Shares","6233","0.01","06-Apr-2026","06-Apr-2026","06-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","06-Apr-2026 19:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197676_1646423_06042026072717_WEB.xml"
