"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HOMESFY","Homesfy Realty Limited","7(2)","Ashish Kukreja","Promoters","Equity Shares","1542312","47.81",,"5100","824874","Buy","Equity Shares","1547412","47.96","12-Jan-2026","13-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192940_1600234_13012026064411_WEB.xml"
"JUBLFOOD","Jubilant Foodworks Limited","7(2)","Jubilant Consumer Private Limited","Promoters","Equity Shares","265752415","40.27",,"600000","314160000","Pledge","Equity Shares","265752415","40.27","12-Jan-2026","12-Jan-2026","13-Jan-2026","Pledge Creation","-","-","0","0","0","0","NA","-","13-Jan-2026 18:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192938_1600218_13012026063355_WEB.xml"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","7(2)","Tapovan Paper and Board Mills Limited","Promoter Group","Equity Shares","Nil","0",,"75645","756450","Buy","Equity Shares","75645","0.4","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192936_1600132_13012026060214_WEB.xml"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","7(2)","Paresh Farms Private Limited","Promoter Group","Equity Shares","374","0",,"374","3740","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192936_1600132_13012026060214_WEB.xml"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","7(2)","Prabha Farms Private Limited","Promoter Group","Equity Shares","75271","0.4",,"75271","752710","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192936_1600132_13012026060214_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","8003514","0.3",,"2972","4913608","Sell","Equity Shares","8000542","0.3","08-Jan-2026","08-Jan-2026","12-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","13-Jan-2026 17:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192934_1600117_13012026055825_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Paresh Farms Private Limited","Promoter Group","Equity Shares","986","0.01",,"986","9860","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192932_1600110_13012026055649_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Prabha Farms Private Limited","Promoter Group","Equity Shares","144571","1.01",,"144571","1445710","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192932_1600110_13012026055649_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Nath Securities Limited","Promoter Group","Equity Shares","232929","1.63",,"232929","2329290","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192932_1600110_13012026055649_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Tapovan Paper and Board Mills Limited","Promoter Group","Equity Shares","Nil","0",,"378486","3784860","Buy","Equity Shares","378486","2.64","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192932_1600110_13012026055649_WEB.xml"
"TECHIN","Techindia Nirman Limited","7(2)","Tapovan Paper and Board Mills Limited","Promoter Group","Equity Shares","Nil","0",,"378486","3784860","Buy","Equity Shares","378486","2.64","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192931_1600095_13012026055142_WEB.xml"
