Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
526381,Patel Integrated Logistics Ltd-$,Asgar Shakoor Patel,Promoter,Disposal,Buy Back,Equity,645102,12902040.00,5856806,8.42,5211704,8.12,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,A S PATEL TRUST,Promoter Group,Disposal,Buy Back,Equity,447050,8941000.00,3921185,5.63,3474135,5.41,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,PATEL HOLDINGS LIMITED,Promoter Group,Disposal,Buy Back,Equity,902909,18058180.00,9306777,13.37,8403868,13.09,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,WALL STREET SECURITIES INVESTMENTS INDIA LIMITED,Promoter Group,Disposal,Buy Back,Equity,48565,971300.00,425978,0.61,377413,0.59,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,NATASHA RAJESH PILLAI,Promoter Group,Disposal,Buy Back,Equity,194725,3894500.00,1707988,2.45,1513263,2.36,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,WALL STREET DERIVATIVES AND FINANCIAL SERVICES INDIA PRIVATE LIMITED,Promoter Group,Disposal,Buy Back,Equity,53414,1068280.00,468518,0.67,415104,0.65,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,ARHAAN NUMAIRE FAMILY BENEFICIARIES TRUST,Promoter Group,Disposal,Buy Back,Equity,214635,4292700.00,1882621,2.70,1667986,2.60,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,NATASHA NISHQA TANISHA FAMILY BENEFICIARIES TRUST,Promoter Group,Disposal,Buy Back,Equity,180754,3615080.00,1585437,2.28,1404683,2.19,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,MR.MAHESH FOGLA,Director,Disposal,Buy Back,Equity,5700,114000.00,50000,0.07,44300,0.06,17 Jul 2026,17 Jul 2026,21 Jul 2026,NSE
526381,Patel Integrated Logistics Ltd-$,Mr. Ramakant K Kadam,Director,Disposal,Buy Back,Equity,2331,46620.00,26000,0.04,23669,0.03,17 Jul 2026,17 Jul 2026,21 Jul 2026,NSE
526381,Patel Integrated Logistics Ltd-$,Asgar Shakoor Patel,Promoter,Disposal,Buy Back,Equity,645102,12902040.00,5856806,8.42,5211704,8.12,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
526381,Patel Integrated Logistics Ltd-$,A S PATEL TRUST,Promoter Group,Disposal,Buy Back,Equity,447050,8941000.00,3921185,5.63,3474135,5.41,17 Jul 2026,17 Jul 2026,21 Jul 2026,BSE
