Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
532856,Time Technoplast Ltd,Vishal Anil Jain,Promoter Group,Disposal,Inter-se Transfer,Equity Shares,400000,71316000.00,599880,0.12,199880,0.04,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2000,1443534.00,3403366,18.32,3405366,18.33,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1000,724494.00,3405366,18.33,3406366,18.34,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2000,1508906.00,3406366,18.34,3408366,18.35,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2500,1945278.00,3408366,18.35,3410866,18.36,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2500,1937917.00,3410866,18.36,3413366,18.38,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
533108,Bhilwara Technical Textiles Ltd,DIPLOMAT LEASING AND FINANCE PRIVATE LIMITED,Promoter Group,Acquisition,Market Purchase,Equity Shares,100000,3471000.00,1828504,3.13,1928504,3.30,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531456,Minaxi Textiles Ltd,Kiritkumar Shambhubhai Patel,Promoter,Acquisition,Market Purchase,Equity Shares,1963,3297.00,9162458,18.52,9164421,18.53,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531456,Minaxi Textiles Ltd,Dinehkumar Purushottambhai  Patel,Promoter,Acquisition,Market Purchase,Equity Shares,4275,7182.00,9156457,18.53,9160732,18.54,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
500209,Infosys Ltd,Amit Kalley,Designated Person,Acquisition,ESOP,Any other instrument,635,766081.00,13639,0.00,14274,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Joseph J. Alenchery,Designated Person,Acquisition,ESOP,Any other instrument,920,1109912.00,12125,0.00,13045,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Rakesh Babu Gollapalli,Designated Person,Acquisition,ESOP,Any other instrument,1083,1306560.00,0,0.00,1083,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Ramesh J. Chougule,Designated Person,Acquisition,ESOP,Any other instrument,1312,1582832.00,3351,0.00,4663,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Suresh MSR,Designated Person,Acquisition,ESOP,Any other instrument,1069,1289670.00,317,0.00,1386,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
500209,Infosys Ltd,Venkateshwaran Ananthakrishnan,Designated Person,Acquisition,ESOP,Any other instrument,3828,4618201.00,27107,0.00,30935,0.00,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
539289,Aurum PropTech Ltd,Jitendra Jagadev,Designated Person,Disposal,Market Sale,Equity Shares,9000,1724383.00,98000,0.13,89000,0.12,02 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
539289,Aurum PropTech Ltd,Jitendra Jagadev,Designated Person,Disposal,Market Sale,Equity Shares,2500,472933.00,89000,0.12,86500,0.11,02 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
539524,Dr. Lal PathLabs Ltd,Dr. Lal PathLabs Employee Welfare Trust,Other,Disposal,ESOP,Equity Shares,2346,11730.00,640996,0.38,638650,0.38,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
539524,Dr. Lal PathLabs Ltd,Satish Kumar Singh,Designated Person,Acquisition,ESOP,Equity Shares,1474,7370.00,560,0.00,2034,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
539524,Dr. Lal PathLabs Ltd,Prashant Kishore,Designated Person,Disposal,Market Sale,Equity Shares,600,990600.00,4528,0.00,3928,0.00,17 Jun 2026,17 Jun 2026,22 Jun 2026,NSE
