Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
543920,CFF Fluid Control Ltd,Hitesh Birla,KMP,Equity,64000,0.30,Equity,800,655600.00,Acquisition,-,64800,0.31,14 Jul 2026,14 Jul 2026,14 Jul 2026,Market Purchase,,,,,,,BSE,14 Jul 2026
500800,Tata Consumer Products Ltd,BHUSHAN BANNUR,Designated Person,Equity,178,0.00,Equity,1234,1373319.00,Acquisition,-,1412,0.00,09 Jul 2026,09 Jul 2026,10 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,GAURAV BHADURI,Designated Person,Equity,8,0.00,Equity,933,1003525.00,Acquisition,-,941,0.00,09 Jul 2026,09 Jul 2026,10 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,NEHA TANEJA,Designated Person,Equity,150,0.00,Equity,1095,1218626.00,Acquisition,-,1245,0.00,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,AMITH SEBASTIAN,Designated Person,Equity,0,0.00,Equity,1347,1497056.00,Acquisition,-,1347,0.00,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,AKANSHA DIXIT,Designated Person,Equity,1008,0.00,Equity,1183,1314786.00,Acquisition,-,2191,0.00,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,BHUSHAN BANNUR,Designated Person,Equity,178,0.00,Equity,1234,1373319.00,Acquisition,-,1412,0.00,09 Jul 2026,09 Jul 2026,10 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,GAURAV BHADURI,Designated Person,Equity,8,0.00,Equity,933,1003525.00,Acquisition,-,941,0.00,09 Jul 2026,09 Jul 2026,10 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,NEHA TANEJA,Designated Person,Equity,150,0.00,Equity,1095,1218626.00,Acquisition,-,1245,0.00,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,AMITH SEBASTIAN,Designated Person,Equity,0,0.00,Equity,1347,1497056.00,Acquisition,-,1347,0.00,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
500800,Tata Consumer Products Ltd,AKANSHA DIXIT,Designated Person,Equity,1008,0.00,Equity,1183,1314786.00,Acquisition,-,2191,0.00,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
532777,Info Edge (India) Ltd,Info Edge Employees Stock Option Plan Trust,Trust,Equity,548625,0.08,Equity,3804,7608.00,Disposal,-,544821,0.08,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,14 Jul 2026
513228,Pennar Industries Ltd-$,Pennar Holdings Private Limited,Promoter,Equity,21005455,15.57,Equity,550000,92400000.00,Acquisition,-,21555455,15.97,14 Jul 2026,14 Jul 2026,14 Jul 2026,Conversion of security,,,,,,,NA,14 Jul 2026
544309,Inventurus Knowledge Solutions Ltd,Mundra HUF,Employees Immediate Relative,Equity,7276,0.00,Equity,500,853666.00,Disposal,-,6776,0.00,25 Jun 2026,25 Jun 2026,13 Jul 2026,Market Sale,,,,,,,NSE,14 Jul 2026
544309,Inventurus Knowledge Solutions Ltd,Mundra HUF,Employees Immediate Relative,Equity,6776,0.00,Equity,6776,11180400.00,Disposal,-,0,0.00,27 Jun 2026,27 Jun 2026,13 Jul 2026,Off Market,,,,,,,NA,14 Jul 2026
542117,Netripples Software Ltd,NIL,Connected Person,Equity,0,0.00,Equity,0,0.00,Disposal,-,0,0.00,01 Apr 2026,30 Jun 2026,13 Jul 2026,Others,,,,,,,NA,13 Jul 2026
543974,Vishnu Prakash R Punglia Ltd,Anil Punglia,Promoter Group,Equity,2570000,2.06,Equity,1640000,27850000.00,Revoke,-,2570000,2.06,07 Jul 2026,07 Jul 2026,09 Jul 2026,,,,,,,,NA,13 Jul 2026
543974,Vishnu Prakash R Punglia Ltd,Vijay Punglia,Promoter Group,Equity,4515000,3.62,Equity,2560000,41775000.00,Revoke,-,4515000,3.62,07 Jul 2026,07 Jul 2026,09 Jul 2026,,,,,,,,NA,13 Jul 2026
536565,Novelix Pharmaceuticals Ltd,SRINIDHI FINE CHEMICALS LLP,Promoter,Equity,7902000,33.07,Equity,2100000,42000000.00,Acquisition,-,10002000,35.13,09 Jul 2026,09 Jul 2026,11 Jul 2026,Allotment,,,,,,,NA,13 Jul 2026
536565,Novelix Pharmaceuticals Ltd,Narhari Belide,Promoter Group,Equity,800000,3.35,Equity,400000,8000000.00,Acquisition,-,1200000,4.21,09 Jul 2026,09 Jul 2026,11 Jul 2026,Allotment,,,,,,,NA,13 Jul 2026
