Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
523888,Megamont Ltd,Faze Three Limited,Promoter,Equity Shares,900000,3.12,Equity Shares,900000,16200000.00,Disposal,Equity,0,0.00,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
523888,Megamont Ltd,MINAL GAURAV PATIL,Director,Equity Shares,8005573,27.72,Equity Shares,450000,8100000.00,Acquisition,Equity,8455573,29.28,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
523888,Megamont Ltd,MADDUKURI MOUNIKA,Director,Equity Shares,8005573,27.72,Equity Shares,450000,8100000.00,Acquisition,Equity,8455573,29.28,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
504341,Ravindra Energy Ltd,KHANDEPAR INVESTMENTS PRIVATE LIMITED,Promoter,Equity Shares,61870666,34.64,Equity Shares,1961822,244690343.00,Disposal,Equity,59908844,33.54,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
532488,Divis Laboratories Ltd,A. Lakshmi,Immediate Relative,Equity Shares,2700,0.00,Equity Shares,500,3206500.00,Disposal,Equity,2200,0.00,25 Feb 2026,26 Feb 2026,02 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
505509,Responsive Industries Ltd,Fairpoint Tradecom LLP,Promoter Group,Equity Shares,24650000,9.25,Equity Shares,720000,91224000.00,Pledge,Equity,24650000,9.25,30 Mar 2026,30 Mar 2026,31 Mar 2026,Creation Of Pledge,,,,,,,NA,31 Mar 2026
540404,Prime Fresh Ltd,HIREN CHANDRAKANT GHELANI,Promoter & Director,Equity Shares,4159084,30.22,Equity Shares,118849,19491236.00,Acquisition,Equity,4277933,30.82,30 Mar 2026,30 Mar 2026,31 Mar 2026,Conversion of security,,,,,,,BSE,31 Mar 2026
507753,TGV Sraac Ltd,BRILLIANT INDUSTRIES PRIVATE LIMITED,Promoter Group,Equity Shares,26686261,24.92,Equity Shares,31738,2608629.00,Acquisition,Equity,26717999,24.95,30 Mar 2026,31 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
530977,Shri Keshav Cements And Infra Ltd,Katwa Infotech Private Limited,Promoter Group,Equity Shares,1740264,9.94,Equity Shares,102000,14280000.00,Acquisition,Equity,1842264,10.52,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
530977,Shri Keshav Cements And Infra Ltd,Venkatesh Hanamantsa Katwa,Promoter & Director,Equity Shares,2000815,11.42,Equity Shares,44000,6160000.00,Acquisition,Equity,2044815,11.68,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
530977,Shri Keshav Cements And Infra Ltd,Vilas Hanamantsa Katwa,Promoter & Director,Equity Shares,2120800,12.11,Equity Shares,44000,6160000.00,Acquisition,Equity,2164800,12.36,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
530977,Shri Keshav Cements And Infra Ltd,Deepak Hanamantsa Katwa,Promoter & Director,Equity Shares,2180800,12.45,Equity Shares,44000,6160000.00,Acquisition,Equity,2224800,12.70,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
500296,Nahar Spinning Mills Ltd,NAHAR CAPITAL AND FINANCIAL SERVICES LIMITED,Promoter Group,Equity Shares,16948039,46.99,Equity Shares,18559,3762613.00,Acquisition,Equity,16966598,47.04,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
544248,Mach Travel Solutions Ltd,AMIT BHATIA,Promoter & Director,Equity Shares,13771400,65.46,Equity Shares,28800,3267762.00,Acquisition,Equity,13800200,65.60,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
544248,Mach Travel Solutions Ltd,AMIT BHATIA,Promoter & Director,Equity Shares,13759400,65.41,Equity Shares,12000,1339290.00,Acquisition,Equity,13771400,65.46,27 Mar 2026,27 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
523391,Nahar Polyfilms Ltd,NAHAR SPINNING MILLS LIMITED,Promoter Group,Equity Shares,4642134,18.88,Equity Shares,11516,2558608.00,Acquisition,Equity,4653650,18.93,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
542332,Hi-Klass Trading and Investment Ltd,NICOINDIA CONSULTANCY LLP,Promoter Group,Equity Shares,6866720,22.72,Equity Shares,862828,43141400.00,Pledge,Equity,6866720,22.72,30 Mar 2026,30 Mar 2026,31 Mar 2026,Creation Of Pledge,,,,,,,NA,31 Mar 2026
539309,Rama Steel Tubes Ltd,TARUN DHIR Partner of M/s Arun Enterprises ,Promoter Group,Equity Shares,57966575,3.54,Equity Shares,28029332,102881663.00,Disposal,Equity,29937243,1.83,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
511413,Crest Ventures Ltd,PARAG ARVIND SHAH,Employee,Equity Shares,10000,0.04,Equity Shares,10000,3132229.00,Disposal,Equity,0,0.00,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
511413,Crest Ventures Ltd,Priyanka Finance Private Limited,Promoter Group,Equity Shares,1297665,4.56,Equity Shares,25000,7886638.00,Acquisition,Equity,1322665,4.65,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
532683,AIA Engineering Ltd,Balkrishna Fatehlal Shah,Connected Person,Equity Shares,29405,0.03,Equity Shares,600,2200000.00,Disposal,Equity,28805,0.03,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
523888,Megamont Ltd,Faze Three Limited,Promoter,Equity Shares,900000,3.12,Equity Shares,900000,18.00,Disposal,Equity,0,0.00,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
523888,Megamont Ltd,MINAL GAURAV PATIL,Promoter & Director,Equity Shares,8005573,27.72,Equity Shares,450000,18.00,Acquisition,Equity,8455573,29.28,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
523888,Megamont Ltd,MADDUKURI MOUNIKA,Promoter & Director,Equity Shares,8005573,27.72,Equity Shares,450000,18.00,Acquisition,Equity,8455573,29.28,30 Mar 2026,30 Mar 2026,31 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
532180,Dhanlaxmi Bank Ltd,SANTHOSH KUMAR R,Employee,Equity Shares,343000,0.08,Equity Shares,48000,974160.00,Acquisition,Equity,391000,0.09,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Any other instrument,278200000,41.90,Any other instrument,18450000,1439100000.00,Disposal,-,259750000,39.12,25 Mar 2026,25 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Any other instrument,259750000,39.12,Any other instrument,1450000,113100000.00,Disposal,-,258300000,38.90,27 Mar 2026,27 Mar 2026,31 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Any other instrument,258300000,38.90,Any other instrument,650000,50700000.00,Disposal,-,257650000,38.80,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
502219,Borosil Renewables Ltd,Shreevar Kheruka,Promoter,Equity Shares,1951747,1.39,Equity Shares,52577,20012277.00,Acquisition,Equity,2004324,1.43,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Sarvesh Sindhu,Promoter Group,Equity Shares,249232,2.29,Equity Shares,671067,27258742.00,Acquisition,Equity,920299,8.46,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Saurabh Sindhu,Promoter Group,Equity Shares,41666,0.38,Equity Shares,172107,6990986.00,Acquisition,Equity,213773,1.96,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Somvir Sindhu,Promoter Group,Equity Shares,52000,0.48,Equity Shares,172107,6990986.00,Acquisition,Equity,224107,2.06,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Shashi Sindhu,Promoter Group,Equity Shares,18466,0.17,Equity Shares,172107,6990986.00,Acquisition,Equity,190573,1.75,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Vritpal Sindhu,Promoter Group,Equity Shares,557968,5.13,Equity Shares,413157,16782437.00,Acquisition,Equity,971125,8.93,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Abhimanyu Sindhu,Promoter Group,Equity Shares,540832,4.97,Equity Shares,361325,14677022.00,Acquisition,Equity,902157,8.29,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Satyapal Sindhu,Promoter Group,Equity Shares,428368,3.94,Equity Shares,141976,5767065.00,Acquisition,Equity,570344,5.24,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Anika Sindhu,Promoter Group,Equity Shares,500,0.00,Equity Shares,141976,5767065.00,Acquisition,Equity,142476,1.31,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Dev Sindhu,Promoter Group,Equity Shares,337980,3.11,Equity Shares,258160,10486459.00,Acquisition,Equity,596140,5.48,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
530265,Sainik Finance & Industries Ltd,Kuldeep Singh Solanki,Promoter & Director,Equity Shares,2503982,23.01,Equity Shares,2503982,101711748.00,Disposal,Equity,0,0.00,30 Mar 2026,30 Mar 2026,31 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
542752,Affle 3I Ltd,Kapil Mohan Bhutani,KMP,Equity Shares,44225,0.02,Equity Shares,3121,4548733.00,Acquisition,Equity,47346,0.02,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
512517,Vinayak Vanijya Ltd,Samita Gupta,Promoter,Equity Shares,323200,32.45,Equity Shares,47000,752000.00,Disposal,Equity,276200,27.73,30 Mar 2026,30 Mar 2026,30 Mar 2026,Off Market,,,,,,,BSE,31 Mar 2026
500120,Diamines & Chemicals Ltd-$,Harsh A Mehta,Promoter,Equity Shares,553834,5.51,Equity Shares,9200,2108281.00,Acquisition,Equity,563034,5.60,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
500120,Diamines & Chemicals Ltd-$,Pinakin Kantilal Patel,Promoter,Equity Shares,99316,0.99,Equity Shares,1600,352179.00,Acquisition,Equity,100916,1.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
500120,Diamines & Chemicals Ltd-$,Hima Pinakin Patel,Promoter,Equity Shares,1000,0.01,Equity Shares,6,1320.00,Acquisition,Equity,1006,0.01,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
500120,Diamines & Chemicals Ltd-$,Amit M Mehta,Promoter & Director,Equity Shares,1359459,13.52,Equity Shares,12015,2754616.00,Acquisition,Equity,1371474,13.64,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
500120,Diamines & Chemicals Ltd-$,Cherry A Mehta,Promoter,Equity Shares,1150829,11.45,Equity Shares,10277,2336612.00,Acquisition,Equity,1161106,11.55,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
500120,Diamines & Chemicals Ltd-$,Mohak A Mehta,Promoter,Equity Shares,549024,5.46,Equity Shares,5352,1238769.00,Acquisition,Equity,554376,5.51,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
523023,Sinclairs Hotels Ltd-$,NAVIN CHAND SUCHANTI,Promoter,Equity Shares,3307366,6.45,Equity Shares,60845,4441720.00,Acquisition,Equity,3368211,6.57,27 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
532899,Kaveri Seed Company Ltd,Kaveri Employees Trust,Connected Person,Equity Shares,444902,0.86,Equity Shares,46700,36961306.00,Disposal,Equity,398202,0.77,30 Mar 2026,30 Mar 2026,30 Mar 2026,ESOP,,,,,,,NSE,31 Mar 2026
532867,V2 Retail Ltd,Ricon Commodities Private Limited,Other,Equity Shares,128627100,35.28,Equity Shares,3350000,633150000.00,Pledge,Equity,128627100,35.28,30 Mar 2026,30 Mar 2026,31 Mar 2026,Creation Of Pledge,,,,,,,NA,31 Mar 2026
505533,Westlife Foodworld Ltd,Horizon Impex Pvt Ltd,Promoter,Equity Shares,47439734,30.42,Equity Shares,46385,20326541.00,Acquisition,Equity,47486119,30.45,25 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
505533,Westlife Foodworld Ltd,Horizon Impex Pvt Ltd,Promoter,Equity Shares,47486119,30.45,Equity Shares,55000,24164390.00,Acquisition,Equity,47541119,30.49,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
544080,Sayaji Hotels (Indore) Ltd,MP Entertainment and Developers Private Limited,Promoter,Equity Shares,189360,6.22,Equity Shares,11850,9891788.00,Disposal,Equity,177510,5.83,28 Mar 2026,30 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
544080,Sayaji Hotels (Indore) Ltd,Anisha Raoof Dhanani,Promoter,Equity Shares,338879,11.12,Equity Shares,5000,4000000.00,Disposal,Equity,333879,10.96,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
509020,Ruchi Infrastructure Ltd,Nitesh Shahra,Promoter Group,Equity Shares,0,0.00,Equity Shares,1200000,0.00,Acquisition,Equity,1200000,0.51,25 Mar 2026,25 Mar 2026,30 Mar 2026,Off Market,,,,,,,NA,31 Mar 2026
509020,Ruchi Infrastructure Ltd,Disha Foundation,Promoter Group,Equity Shares,1605610,0.68,Equity Shares,1605610,7700506.00,Disposal,Equity,0,0.00,27 Mar 2026,27 Mar 2026,30 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
509020,Ruchi Infrastructure Ltd,Ruchi Realty Private Limited,Promoter Group,Equity Shares,20523000,8.70,Equity Shares,6500000,2990000.00,Disposal,Equity,14023000,5.94,27 Mar 2026,27 Mar 2026,30 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
509020,Ruchi Infrastructure Ltd,Soyumm Marketing Private Limited,Promoter Group,Equity Shares,9253305,3.92,Equity Shares,8105610,37794740.00,Acquisition,Equity,17358915,7.35,27 Mar 2026,27 Mar 2026,30 Mar 2026,Inter-se Transfer,,,,,,,BSE,31 Mar 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,1989391,2.11,Equity Shares,36055,52475845.00,Acquisition,Equity,2025446,2.15,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,2025446,2.15,Equity Shares,5080,6994086.00,Disposal,Equity,2020366,2.14,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
532859,Hinduja Global Solutions Ltd,Mr. Srinivas Palakodeti,Designated Person,Equity Shares,19410,0.04,Equity Shares,1500,525360.00,Disposal,Equity,17910,0.03,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
532777,Info Edge (India) Ltd,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,688941,0.11,Equity Shares,5779,11558.00,Disposal,Equity,683162,0.11,30 Mar 2026,30 Mar 2026,30 Mar 2026,ESOP,,,,,,,NA,31 Mar 2026
532777,Info Edge (India) Ltd,Pradeepa Morri,Immediate Relative,Equity Shares,0,0.00,Equity Shares,1000,967000.00,Acquisition,Equity,1000,0.00,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
544253,Kross Ltd,Anita Rai,Promoter & Director,Equity Shares,11872170,18.40,Equity Shares,30000,4789500.00,Acquisition,Equity,11902170,18.45,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
543530,Paradeep Phosphates Ltd,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,Equity Shares,522331697,50.31,Equity Shares,175000,19052250.00,Acquisition,Equity,522506697,50.33,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
539302,Power Mech Projects Ltd,POWER MECH INFRA PRIVATE LIMITED,Promoter Group,Equity Shares,188186,0.60,Equity Shares,28000,49159376.00,Acquisition,Equity,216186,0.68,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
539302,Power Mech Projects Ltd,M. Rajiv Kumar,Director,Equity Shares,0,0.00,Equity Shares,500,1092413.00,Acquisition,Equity,500,0.00,19 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
532395,Axiscades Technologies Ltd,Jupiter Capital Private Limited,Promoter,Equity Shares,24682047,58.05,Equity Shares,610000,840702000.00,Pledge,Equity,24682047,58.05,30 Mar 2026,30 Mar 2026,30 Mar 2026,Pledge Released,,,,,,,NA,31 Mar 2026
513579,Foundry Fuel Products Ltd,DEBENDRA KUMAR AGARWALLA,Promoter,Equity Shares,976000,12.17,Equity Shares,204542,0.00,Acquisition,Equity,1180542,14.72,30 Mar 2026,30 Mar 2026,30 Mar 2026,Gift,,,,,,,BSE,31 Mar 2026
513579,Foundry Fuel Products Ltd,MADHU AGARWALLA,Promoter,Equity Shares,56992,0.71,Equity Shares,56992,0.00,Disposal,Equity,0,0.00,30 Mar 2026,30 Mar 2026,30 Mar 2026,Gift,,,,,,,BSE,31 Mar 2026
513579,Foundry Fuel Products Ltd,SHRUTIKA AGARWALLA,Promoter,Equity Shares,147550,1.84,Equity Shares,147550,0.00,Disposal,Equity,0,0.00,30 Mar 2026,30 Mar 2026,30 Mar 2026,Gift,,,,,,,BSE,31 Mar 2026
544276,Deepak Builders and Engineers India Ltd,Deepak Kumar Singal,KMP,Equity Shares,30169517,64.77,Equity Shares,88731,5058106.00,Disposal,Equity,30080786,64.58,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Sale,,,,,,,NSE,31 Mar 2026
531869,Sacheta Metals Ltd,SATISHKUMAR SHAH KESHAVLAL,Promoter & Director,Equity Shares,26456777,21.17,Equity Shares,20513,4.00,Acquisition,Equity,26477290,21.18,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
531869,Sacheta Metals Ltd,SATISHKUMAR SHAH KESHAVLAL,Promoter & Director,Equity Shares,26477290,21.18,Equity Shares,17013,4.00,Disposal,Equity,26460277,21.17,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
531569,Sanjivani Paranteral Ltd,ASHWANI KHEMKA,Promoter,Equity Shares,3625651,29.51,Equity Shares,6451,922014.00,Acquisition,Equity,3632102,29.57,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
544450,Chembond Chemicals Ltd,Nirmal V. Shah,Promoter & Director,Equity Shares,6991413,25.99,Equity Shares,2600,279500.00,Acquisition,Equity,6994013,26.00,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
544450,Chembond Chemicals Ltd,Nirmal V. Shah,Promoter & Director,Equity Shares,6994013,26.00,Equity Shares,2400,256656.00,Acquisition,Equity,6996413,26.01,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
540425,Shankara Building Products Ltd,THE BALLYGUNGE FAMILY TRUST,Trust,Equity Shares,1035945,4.27,Equity Shares,65724,7259422.00,Acquisition,Equity,1101669,4.54,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
537800,Mangalam Industrial Finance Ltd,DY Captive Projects LLP,Other,Equity Shares,89454415,6.28,Equity Shares,1046042,857754.00,Disposal,Equity,88408373,6.20,24 Mar 2026,24 Mar 2026,27 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
537800,Mangalam Industrial Finance Ltd,DY Captive Projects LLP,Other,Equity Shares,88408373,6.20,Equity Shares,624694,506002.00,Disposal,Equity,87783679,6.16,25 Mar 2026,25 Mar 2026,27 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
543971,Bondada Engineering Ltd,Dr. Bondada Raghanvendra Rao,Promoter & Director,Equity Shares,50265400,45.04,Equity Shares,9600,2368610.00,Acquisition,Equity,50275000,45.05,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,BSE,31 Mar 2026
543918,GHCL Textiles Ltd,Manoj Kumar Ishwar,Designated Person,Equity Shares,1000,0.00,Equity Shares,400,26760.00,Acquisition,Equity,1400,0.00,30 Mar 2026,30 Mar 2026,31 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
540425,Shankara Building Products Ltd,THE BALLYGUNGE FAMILY TRUST,Trust,Equity Shares,983945,4.06,Equity Shares,52000,5631327.00,Acquisition,Equity,1035945,4.27,28 Mar 2026,28 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
524332,BCL Industries Ltd-$,Rajinder Mittal,Promoter & Director,Equity Shares,44625912,15.11,Equity Shares,145000,3918286.00,Acquisition,Equity,44770912,15.16,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
504080,JSL Industries Ltd,SAATYAKI ANANT AMIN,Promoter Group,Equity Shares,176674,15.05,Equity Shares,966,963102.00,Disposal,Equity,175708,14.97,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Sale,,,,,,,BSE,31 Mar 2026
514234,Sangam India Ltd,Sangam India  Limited Employees Welfare Trust,Trust,Equity Shares,929643,1.85,Equity Shares,6900,2954097.00,Acquisition,Equity,936543,1.86,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,31 Mar 2026
515147,Haldyn Glass Ltd-$,Haldyn Corporation Limited,Promoter,Equity Shares,29964088,55.75,Equity Shares,17681,1395002.00,Acquisition,Equity,29981769,55.78,27 Mar 2026,27 Mar 2026,29 Mar 2026,Market Purchase,,,,,,,BSE,30 Mar 2026
532754,GMR Airports Ltd,GVL INVESTMENTS PVT. LTD.,Promoter Group,Equity Shares,0,0.00,Equity Shares,9100000,844986372.00,Acquisition,Equity,9100000,0.09,25 Mar 2026,25 Mar 2026,27 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
532754,GMR Airports Ltd,GVL INVESTMENTS PVT. LTD.,Promoter Group,Equity Shares,9100000,0.09,Equity Shares,88200000,7563669452.00,Acquisition,Equity,97300000,0.92,30 Mar 2026,30 Mar 2026,30 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
537326,Chemtech Industrial Valves Ltd,Harsh Pradeep Badkur,Promoter & Director,Equity Shares,2237046,12.47,Equity Shares,250000,37500000.00,Acquisition,Equity,2487046,13.49,27 Mar 2026,27 Mar 2026,30 Mar 2026,Conversion of security,,,,,,,NA,30 Mar 2026
537326,Chemtech Industrial Valves Ltd,Puneet Pradeep Badkur,Promoter & Director,Equity Shares,1549834,8.64,Equity Shares,250000,37500000.00,Acquisition,Equity,1799834,9.76,27 Mar 2026,27 Mar 2026,30 Mar 2026,Conversion of security,,,,,,,NA,30 Mar 2026
500034,Bajaj Finance Ltd,Maharashtra Scooters Limited,Promoter Group,Equity Shares,189746600,3.05,Equity Shares,245000,215785588.00,Acquisition,Equity,189991600,3.05,25 Mar 2026,25 Mar 2026,26 Mar 2026,Market Purchase,,,,,,,NSE,30 Mar 2026
544296,Nisus Finance Services Co Ltd,Nisus Finance ESOP Trust,Trust,Equity Shares,0,0.00,Equity Shares,20800,3739960.00,Acquisition,Equity,20800,0.09,27 Mar 2026,27 Mar 2026,30 Mar 2026,ESOP,,,,,,,BSE,30 Mar 2026
544296,Nisus Finance Services Co Ltd,Nisus Finance ESOP Trust,Trust,Equity Shares,0,0.00,Equity Shares,152400,29221865.00,Acquisition,Equity,152400,0.72,30 Mar 2026,30 Mar 2026,30 Mar 2026,ESOP,,,,,,,BSE,30 Mar 2026
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,1102725,0.06,Equity Shares,4730,2289510.00,Disposal,Equity,1097995,0.06,23 Mar 2026,23 Mar 2026,25 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,1097995,0.06,Equity Shares,195,95009.00,Disposal,Equity,1097800,0.06,27 Mar 2026,27 Mar 2026,30 Mar 2026,Market Sale,,,,,,,NSE,30 Mar 2026
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,1097800,0.06,Equity Shares,9463,94630.00,Disposal,Equity,1088337,0.06,27 Mar 2026,27 Mar 2026,30 Mar 2026,ESOP,,,,,,,NA,30 Mar 2026
